C632;TUMOR MALIGNO DEL ESCROTO;TUMOR MALIGNO DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C63;2;M
C637;TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DE LOS ORGANOS GENITALES MASCULINOS;TUMOR MALIGNO DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C63;2;M
C638;LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS;TUMOR MALIGNO DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C63;2;M
C639;TUMOR MALIGNO DE ORGANO GENITAL MASCULINO-PARTE NO ESPECIFICADA;TUMOR MALIGNO DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);C63;2;M
D074;CARCINOMA IN SITU DEL PENE;CARCINOMA IN SITU DE OTROS ORGANOS GENITALES Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D07;2;M
D075;CARCINOMA IN SITU DE LA PROSTATA;CARCINOMA IN SITU DE OTROS ORGANOS GENITALES Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D07;2;M
D076;CARCINOMA IN SITU DE OTROS ORGANOS GENITALES MASCULINOS Y DE LOS NO ESPECIFICADOS;CARCINOMA IN SITU DE OTROS ORGANOS GENITALES Y DE LOS NO ESPECIFICADOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D07;2;M
D176;TUMOR BENIGNO LIPOMATOSO DEL CORDON ESPERMATICO;TUMORES BENIGNOS LIPOMATOSOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D17;2;M
D290;TUMOR BENIGNO DEL PENE;TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D29;2;M
D291;TUMOR BENIGNO DE LA PROSTATA;TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D29;2;M
D292;TUMOR BENIGNO DE LOS TESTICULOS;TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D29;2;M
D293;TUMOR BENIGNO DEL EPIDIDIMO;TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D29;2;M
D294;TUMOR BENIGNO DEL ESCROTO;TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D29;2;M
D297;TUMOR BENIGNO DE OTROS ORGANOS GENITALES MASCULINOS;TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D29;2;M
D299;TUMOR BENIGNO DE ORGANO GENITAL MASCULINO-SITIO NO ESPECIFICADO;TUMOR BENIGNO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D29;2;M
D400;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA PROSTATA;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS GENITALES MASCULINOS;1;10;120;2;TUMORES [NEOPLASIAS] (C00-D48);D40;2;M
D401;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DEL TESTICULO;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D40;2;M
D407;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE OTROS ORGANOS GENITALES MASCULINOS;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D40;2;M
D409;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE ORGANO GENITAL MASCULINO NO ESPECIFICADO;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;2;TUMORES [NEOPLASIAS] (C00-D48);D40;2;M
E290;HIPERFUNCION TESTICULAR;DISFUNCION TESTICULAR;1;10;120;4;ENFERMEDADES ENDOCRINAS-NUTRICIONALES Y METABOLICAS (E00-E90);E29;4;M
E291;HIPOFUNCION TESTICULAR;DISFUNCION TESTICULAR;1;10;120;4;ENFERMEDADES ENDOCRINAS-NUTRICIONALES Y METABOLICAS (E00-E90);E29;4;M
E298;OTRAS DISFUNCIONES TESTICULARES;DISFUNCION TESTICULAR;1;10;120;4;ENFERMEDADES ENDOCRINAS-NUTRICIONALES Y METABOLICAS (E00-E90);E29;4;M
E299;DISFUNCION TESTICULAR-NO ESPECIFICADA;DISFUNCION TESTICULAR;1;10;120;4;ENFERMEDADES ENDOCRINAS-NUTRICIONALES Y METABOLICAS (E00-E90);E29;4;M
E895;HIPOFUNCION TESTICULAR CONSECUTIVA A PROCEDIMIENTOS;TRASTORNOS ENDOCRINOS Y METABOLICOS CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE;1;0;999;4;ENFERMEDADES ENDOCRINAS-NUTRICIONALES Y METABOLICAS (E00-E90);E89;4;M
F524;EYACULACION PRECOZ;DISFUNCION SEXUAL NO OCASIONADA POR TRASTORNO NI ENFERMEDAD ORGANICOS;1;15;80;5;TRASTORNOS MENTALES Y DEL COMPORTAMIENTO (F00-F99);F52;5;M
I861;VARICES ESCROTALES;VARICES DE OTROS SITIOS;1;0;999;9;ENFERMEDADES DEL SISTEMA CIRCULATORIO (I00-I99);I86;9;M
L291;PRURITO ESCROTAL;PRURITO;1;0;999;12;ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTANEO (L00-L99);L29;12;M
N40X;HIPERPLASIA DE LA PROSTATA;HIPERPLASIA DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N40;14;M
N410;PROSTATITIS AGUDA;ENFERMEDADES INFLAMATORIAS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N41;14;M
N411;PROSTATITIS CRONICA;ENFERMEDADES INFLAMATORIAS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N41;14;M
N412;ABSCESO DE LA PROSTATA;ENFERMEDADES INFLAMATORIAS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N41;14;M
N413;PROSTATOCISTITIS;ENFERMEDADES INFLAMATORIAS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N41;14;M
N418;OTRAS ENFERMEDADES INFLAMATORIAS DE LA PROSTATA;ENFERMEDADES INFLAMATORIAS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N41;14;M
N419;ENFERMEDAD INFLAMATORIA DE LA PROSTATA-NO ESPECIFICADA;ENFERMEDADES INFLAMATORIAS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N41;14;M
N420;CALCULO DE LA PROSTATA;OTROS TRASTORNOS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N42;14;M
N421;CONGESTION Y HEMORRAGIA DE LA PROSTATA;OTROS TRASTORNOS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N42;14;M
N422;ATROFIA DE LA PROSTATA;OTROS TRASTORNOS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N42;14;M
N423;DISPLASIA DE LA PROSTATA;OTROS TRASTORNOS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N42;14;M
N428;OTROS TRASTORNOS ESPECIFICADOS DE LA PROSTATA;OTROS TRASTORNOS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N42;14;M
N429;TRASTORNO DE LA PROSTATA-NO ESPECIFICADO;OTROS TRASTORNOS DE LA PROSTATA;1;20;120;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N42;14;M
N430;HIDROCELE ENQUISTADO;HIDROCELE Y ESPERMATOCELE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N43;14;M
N431;HIDROCELE INFECTADO;HIDROCELE Y ESPERMATOCELE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N43;14;M
N432;OTROS HIDROCELES;HIDROCELE Y ESPERMATOCELE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N43;14;M
N433;HIDROCELE-NO ESPECIFICADO;HIDROCELE Y ESPERMATOCELE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N43;14;M
N434;ESPERMATOCELE;HIDROCELE Y ESPERMATOCELE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N43;14;M
N44X;TORSION DEL TESTICULO;TORSION DEL TESTICULO;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N44;14;M
N450;ORQUITIS-EPIDIDIMITIS Y ORQUIEPIDIDIMITIS CON ABSCESO;ORQUITIS Y EPIDIDIMITIS;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N45;14;M
N459;ORQUITIS-EPIDIDIMITIS Y ORQUIEPIDIDIMITIS SIN ABSCESO;ORQUITIS Y EPIDIDIMITIS;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N45;14;M
N46X;ESTERILIDAD EN EL VARON;ESTERILIDAD EN EL VARON;1;12;80;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N46;14;M
N47X;PREPUCIO REDUNDANTE-FIMOSIS Y PARAFIMOSIS;PREPUCIO REDUNDANTE-FIMOSIS Y PARAFIMOSIS;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N47;14;M
N480;LEUCOPLASIA DEL PENE;OTROS TRASTORNOS DEL PENE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N481;BALANOPOSTITIS;OTROS TRASTORNOS DEL PENE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N482;OTROS TRASTORNOS INFLAMATORIOS DEL PENE;OTROS TRASTORNOS DEL PENE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N483;PRIAPISMO;OTROS TRASTORNOS DEL PENE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N484;IMPOTENCIA DE ORIGEN ORGANICO;OTROS TRASTORNOS DEL PENE;1;12;80;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N485;ULCERA DEL PENE;OTROS TRASTORNOS DEL PENE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N486;INDURACION PLASTICA DEL PENE;OTROS TRASTORNOS DEL PENE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N488;OTROS TRASTORNOS ESPECIFICADOS DEL PENE;OTROS TRASTORNOS DEL PENE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N489;TRASTORNO DEL PENE-NO ESPECIFICADO;OTROS TRASTORNOS DEL PENE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N48;14;M
N490;TRASTORNOS INFLAMATORIOS DE VESICULA SEMINAL;TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS-NO CLASIFICADOS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N49;14;M
N491;TRASTORNOS INFLAMATORIOS DEL CORDON ESPERMATICO-TUNICA VAGINAL Y CONDUCTO DEFERENTE;TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS-NO CLASIFICADOS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N49;14;M
N492;TRASTORNOS INFLAMATORIOS DEL ESCROTO;TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS-NO CLASIFICADOS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N49;14;M
N498;OTROS TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS;TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS-NO CLASIFICADOS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N49;14;M
N499;TRASTORNO INFLAMATORIO DE ORGANO GENITAL MASCULINO-NO ESPECIFICADO;TRASTORNOS INFLAMATORIOS DE LOS ORGANOS GENITALES MASCULINOS-NO CLASIFICADOS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N49;14;M
N500;ATROFIA DEL TESTICULO;OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N50;14;M
N501;TRASTORNOS VASCULARES DE LOS ORGANOS GENITALES MASCULINOS;OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N50;14;M
N508;OTROS TRASTORNOS ESPECIFICADOS DE LOS ORGANOS GENITALES MASCULINOS;OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N50;14;M
N509;TRASTORNO NO ESPECIFICADO DE LOS ORGANOS GENITALES MASCULINOS;OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N50;14;M
N510;TRASTORNOS DE PROSTATA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N51;14;M
N511;TRASTORNOS DEL TESTICULO Y DEL EPIDIDIMO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N51;14;M
N512;BALANITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N51;14;M
N518;OTROS TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;TRASTORNOS DE LOS ORGANOS GENITALES MASCULINOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE;1;0;999;14;ENFERMEDADES DEL SISTEMA GENITOURINARIO (N00-N99);N51;14;M
Q530;ECTOPIA TESTICULAR;TESTICULO NO DESCENDIDO;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q53;17;M
Q531;TESTICULO NO DESCENDIDO-UNILATERAL;TESTICULO NO DESCENDIDO;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q53;17;M
Q532;TESTICULO NO DESCENDIDO-BILATERAL;TESTICULO NO DESCENDIDO;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q53;17;M
Q539;TESTICULO NO DESCENDIDO-SIN OTRA ESPECIFICACION;TESTICULO NO DESCENDIDO;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q53;17;M
Q540;HIPOSPADIAS DEL GLANDE;HIPOSPADIAS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q54;17;M
Q541;HIPOSPADIAS PENEANA;HIPOSPADIAS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q54;17;M
Q542;HIPOSPADIAS PENOSCROTAL;HIPOSPADIAS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q54;17;M
Q543;HIPOSPADIAS PERINEAL;HIPOSPADIAS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q54;17;M
Q544;ENCORDAMIENTO CONGENITO DEL PENE;HIPOSPADIAS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q54;17;M
Q548;OTRAS HIPOSPADIAS;HIPOSPADIAS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q54;17;M
Q549;HIPOSPADIAS-NO ESPECIFICADA;HIPOSPADIAS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q54;17;M
Q550;AUSENCIA Y APLASIA DEL TESTICULO;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
Q551;HIPOPLASIA DEL TESTICULO Y DEL ESCROTO;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
Q552;OTRAS MALFORMACIONES CONGENITAS DE LOS TESTICULOS Y DEL ESCROTO;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
Q553;ATRESIA DEL CONDUCTO DEFERENTE;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
Q554;OTRAS MALFORMACIONES CONGENITAS DE LOS CONDUCTOS DEFERENTES-DEL EPIDIDIMO-DE LAS VESICULAS SEMINALES Y DE LA PROSTATA;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
Q555;APLASIA Y AUSENCIA CONGENITA DEL PENE;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
Q556;OTRAS MALFORMACIONES CONGENITAS DEL PENE;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
Q558;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS-ESPECIFICADAS;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
Q559;MALFORMACION CONGENITA DE LOS ORGANOS GENITALES MASCULINOS-NO ESPECIFICADA;OTRAS MALFORMACIONES CONGENITAS DE LOS ORGANOS GENITALES MASCULINOS;1;0;999;17;MALFORMACIONES CONGENITAS-DEFORMIDADES Y ANOMALIAS CROMOSOMICAS (Q00-Q99);Q55;17;M
R860;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS-NIVEL ANORMAL DE ENZIMAS;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS;1;10;120;18;SINTOMAS-SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO-NO CLASIFICADOS EN OTRA PARTE (R00-R99);R86;18;M
R861;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS-NIVEL ANORMAL DE HORMONAS;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS;1;10;120;18;SINTOMAS-SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO-NO CLASIFICADOS EN OTRA PARTE (R00-R99);R86;18;M
R862;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS  GENITALES MASCULINOS-NIVEL ANORMAL DE OTRAS DROGAS-MEDICAMENTOS Y SUSTANCIAS BIOLOGICAS;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS;1;10;120;18;SINTOMAS-SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO-NO CLASIFICADOS EN OTRA PARTE (R00-R99);R86;18;M
R863;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS-NIVEL ANORMAL DE SUSTANCIAS DE ORIGEN FUNDAMENTALMENTE NO MEDICINAL;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS;1;10;120;18;SINTOMAS-SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO-NO CLASIFICADOS EN OTRA PARTE (R00-R99);R86;18;M
R864;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS-HALLAZGOS INMUNOLOGICOS ANORMALES;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS;1;10;120;18;SINTOMAS-SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO-NO CLASIFICADOS EN OTRA PARTE (R00-R99);R86;18;M
R865;HALLAZGOS  ANORMALES  EN MUESTRAS TOMADAS DE ORGANOS GENITALES  MASCULINOS-HALLAZGOS MICROBIOLOGICOS  ANORMALES-HALLAZGOS POSITIVOS EN EL CULTIVO;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS;1;10;120;18;SINTOMAS-SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO-NO CLASIFICADOS EN OTRA PARTE (R00-R99);R86;18;M
R866;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS-HALLAZGOS CITOLOGICOS ANORMALES-FROTIS ANORMAL DE PAPANICOLAOU;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS;1;10;120;18;SINTOMAS-SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO-NO CLASIFICADOS EN OTRA PARTE (R00-R99);R86;18;M
R867;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS-HALLAZGOS HISTOLOGICOS ANORMALES;HALLAZGOS ANORMALES EN MUESTRAS TOMADAS DE ORGANOS GENITALES MASCULINOS;1;10;120;18;SINTOMAS-SIGNOS Y HALLAZGOS ANORMALES CLINICOS Y DE LABORATORIO-NO CLASIFICADOS EN OTRA PARTE (R00-R99);R86;18;M
